P: C7 66 2F A1 51 D3 A2 5A 9E 0A BA 6D 9E 16 9D D3 5F B6 9A 9D 4D C1 D4 7F 43 FD 06 E4 0C 09 C1 54 
s: DB 37 73 79 EA 58 B7 95 72 EE 90 8E 78 E1 F9 38 BE 97 44 5A 85 9B AD B2 0D 90 62 10 96 FD 1D 06 
k: C9 51 89 30 9A 97 02 34 43 14 12 55 F3 41 E1 23 45 3B 91 1F AA FB 29 11 70 26 50 9A 2A B0 AE 80 
P: 79 67 41 77 3E 65 90 83 89 4D 4A B7 18 95 70 0E DC C9 D9 49 8A 27 97 C3 9F 7F 9F B8 5C EE 5D 72 
s: 09 F0 70 97 07 B6 09 D8 57 65 63 09 03 DD BF 51 45 B2 25 8A 7E 7A D4 F6 40 B0 F7 92 63 04 9D 02 
k: 23 4D 8D 06 1B 3B 76 09 9B BD 64 89 54 0C 8C 0F D2 A6 FF E5 89 92 3D 4A 3C 82 B2 89 C4 DE 01 12 
P: 14 83 C2 FA 7A 2B FD 2B 54 27 5B 09 9D 1A 9C 1D 5E 70 52 7A 47 BF 42 D4 FF 90 4B D8 9B B1 79 62 
s: 4B B5 BD 0C 40 EE 57 B3 A1 00 AA 2C F2 34 7B 35 76 68 D0 DE A1 04 98 D4 49 CE 37 7D BF 5A 58 04 
k: CE 9A 99 AD FD 95 4A AA F6 B0 0E 88 47 BB F2 06 6A E7 AC C7 61 74 C1 0E FB 0A E9 AD BD 73 C6 DC 
P: 1C CC 7D D1 34 62 1B 5C F2 93 A1 CB F0 28 57 BD C7 E3 47 06 E2 17 77 19 B4 30 47 D2 52 1E AF 67 
s: 73 30 68 7C 5E 95 7D 54 01 71 A7 26 36 10 09 7D FF 98 EE 67 E2 8E C8 00 CC 02 58 E5 88 EC F1 0C 
k: CF 37 71 3D 30 7E 51 B6 AE E8 57 2A EA 5F 7D CB 44 31 32 F3 6C E3 6B 6B 89 52 00 77 8D CE 0F DC 
P: 97 D2 8D BA BE 11 90 7A 6F C3 06 10 98 8C C3 91 72 63 1D 9D 68 EA C6 F6 5A FC 53 57 19 56 77 16 
s: 9F 24 77 6D 12 4A 83 61 58 1B 9D 75 8D 1C 13 98 E6 19 CE 78 29 DF 23 A6 43 BD 64 29 A2 36 8E 08 
k: AF 90 FA A1 D5 DC 53 3C 40 44 EC 4F B2 F3 2A 0C 5B 1C 95 5A 57 B4 6B F4 26 7E DF F1 44 E8 9D CC 
P: 40 5B D3 E9 81 4C 3F D1 18 B8 E4 0C E4 AE 17 F6 4F 58 66 49 FC BC 97 1B 1E 0D A6 80 13 E3 E7 67 
s: D9 DC 4B A3 35 22 F4 AB A4 7F 21 75 9D 9F 4D 20 7C A4 EE 74 43 98 07 D7 FE FB 3C F8 25 79 F2 0C 
k: FA 6D 04 3C C3 60 65 20 D0 88 DD 30 E5 8E DE 92 EE D8 1E 9A C2 A8 34 CE F7 CE 99 8E 02 72 37 B4 
P: 7B D1 F3 E3 5D 4B 0E 27 80 F7 8F 3C 5B 64 54 81 BD AA 47 C3 6E 79 80 23 F0 D4 84 7E 75 9D EB 3A 
s: DE E9 E9 D4 38 56 01 6B 27 97 5F 89 1E DC 20 02 79 0C 49 DF 9C 3D 6E 7B 03 FF 7F 5F 7D DA BB 03 
k: C3 F0 0B 98 05 01 0C 95 A2 F1 B4 C0 21 EF AC 70 00 74 35 7A C1 99 8C 50 84 BA 38 8F 7D 43 B9 35 
P: 51 7C 3A 5D E3 EA 34 88 CB 26 73 36 48 7E FC 52 33 39 96 E4 4D F0 50 36 23 F5 56 84 78 98 B9 27 
s: 56 2C 4E CF 2A 57 44 06 AE 33 2F 7D A4 AD DB B8 52 5C 28 CD D2 35 A7 9A CD E0 E7 35 A2 48 91 00 
k: 1F 9F 15 F4 5A 4F E5 9F A2 50 F6 BE D3 4D E4 CA D8 2B 69 04 5E 72 23 DD 38 93 80 DF 7E 19 35 75 
P: 93 98 18 DC 06 29 08 2B 94 97 BD 64 F9 32 53 EB 55 E2 96 7D 0E DE 0A 5C B8 59 BA 38 EB B1 CB 74 
s: AA F5 E3 34 FE 26 D9 97 C5 27 7B 0F E0 A9 90 28 E6 B9 53 AB 4C CE 50 B7 C1 16 7B 3D FE CA B7 06 
k: A5 80 EB 9D B4 9A B3 4D DD BE B6 7B C1 86 C8 A7 82 D4 27 38 14 FA 3F A2 E5 C0 71 E4 63 A4 B9 A0 
P: C2 C5 B7 5F 2C 5B 58 15 C8 A1 BD 22 79 7C E6 F5 39 30 10 A1 C4 D8 CC 73 BB D8 1D C7 25 2C 13 0C 
s: 79 ED 45 9C 82 C5 D6 F0 7A 51 82 DF 55 63 66 5F D5 07 66 12 C2 CE 1F 71 9A 69 A1 7E 28 A4 CD 0B 
k: F5 4A 52 4B B9 E1 FC 0C 06 DD 28 C9 81 8E 3D 3F 4D 4C C8 C7 55 6F 4B C9 3D 89 88 28 9F E6 9D 6B 
P: 86 E0 A0 FB 84 CD 30 08 02 C4 0D D5 26 B3 9A 08 74 94 4E BF 62 AE 90 D7 99 85 C0 7C 0D 10 16 61 
s: 37 0B 3D 85 0C 5E 84 C0 97 78 7B AF 98 6D CD AC 3F FE 47 5E F9 F1 EC 5D 20 2C 70 7F E9 EF F6 04 
k: 2E 9E 07 6E 45 95 A5 A1 F2 A3 40 0D FF 38 DA E0 4C 00 E0 EA 06 F2 45 00 5A 68 FD A7 36 E3 69 EB 
P: 5D 89 96 78 1E 1B 0D 7E CC 84 3E 3C EC 96 14 9E 49 CE 30 14 6D 0E C6 44 7D 9C 78 44 DC B5 01 0E 
s: F8 56 43 35 D7 48 9E BB 5B 2A 7B 28 6D 9E 04 A1 E5 CE 6E BA B4 F8 E1 E1 3C 82 1F 65 EF 07 00 05 
k: 75 51 9B 2D E6 2A 31 47 1C C5 D0 E8 FB 4F 1D 76 D5 80 14 3F FE BD 6D 64 37 F9 87 E6 42 9C B6 4E 
P: 21 39 00 43 91 B4 EF 60 75 1D 67 2A 55 A2 30 76 D4 3A D3 FF BC A7 64 8F 7C 41 33 73 AE 97 C9 7D 
s: 7B 12 60 79 A5 97 92 17 8B 40 9C 6E 0F 3B 3A FC 3C 81 D0 36 AD AF CC EE 26 FA 21 31 C9 C0 DC 08 
k: 75 CF 75 21 5F 7F 92 E2 22 9B C3 73 89 F9 BE 04 04 26 DB E4 8A 35 A3 93 34 6E 66 E6 70 61 9F D7 
P: 73 42 42 70 E5 B1 73 65 03 8F CC 49 34 24 13 8A CC DC 56 F2 E5 E8 3A 40 58 13 C7 81 9E EF E8 0E 
s: D4 20 89 CB 3F 69 EF 73 B5 AF A6 08 05 E8 07 57 11 18 5D B2 A4 C3 B6 E7 86 5B 48 FC CC 50 5B 03 
k: DA 82 9D 1D 26 09 B6 97 46 AA 51 A0 8F 6E 58 5A 39 C4 D8 81 EC BB 53 11 96 99 AB 8E 83 6E 9E 5C 
P: 13 71 34 6E 2C 1E 75 FA A7 BE 7E 6F 51 6C AA 5F 21 9A ED 78 3D A0 CD 44 66 00 5A 3E CF 14 FD 24 
s: D5 90 F4 4F 4C 81 9E 67 E4 5D 60 B7 A6 2D E2 89 E0 49 58 72 7C FD E0 93 FF 9E BA 32 00 3E C7 05 
k: D5 52 0D 65 E5 DA 2F B2 ED B0 57 F1 4A 01 DC 37 96 70 D3 96 D7 5F F5 3A 04 86 15 0D D0 D9 EE 53 
P: 0B 35 62 34 C9 E4 77 D1 A9 DF 56 1C 4E D5 12 39 D6 FD 8F 12 97 3E EE 8A F9 63 AB 8E 37 BD C3 58 
s: B1 F4 E1 A4 4C 11 92 F8 2B D2 7A AD 84 14 6D 67 7D 87 97 A7 91 D5 F7 AF FB 6C D5 80 E7 76 6A 05 
k: 9B 2F AE 5C FC 75 B7 93 23 48 2E 52 C9 73 97 E8 82 55 68 A3 F5 55 5D BF 0B 9F EE 45 C1 D2 CD 16 
P: F3 EA 80 0A FB E5 B2 8F AD 27 41 FB B3 DD 17 EB F2 3D EA 05 6A DB CF 10 42 7C AA AA 21 1E F7 6F 
s: 31 A4 65 99 E7 28 48 1E 82 5A D7 D6 84 DB 9D 21 B0 28 72 A4 BE C7 44 FB 79 FD FA 99 C3 F1 78 00 
k: E6 AE 45 6A FD 6C 5B 46 16 14 A5 88 70 9E BA 2D 28 97 F7 E5 61 43 7B EB 9B 69 BB 72 53 30 35 9B 
P: 01 1F E7 93 61 C8 F7 BA 22 15 E8 72 2C 9D D5 71 DF FC 5E C3 FF 59 CE C2 49 12 A0 0C C7 25 01 06 
s: 84 E5 43 7C 33 0C 53 85 86 82 55 F5 AC 13 84 C7 43 48 D2 23 A6 3C 48 D7 1A 6C 4E 3B AC 55 87 06 
k: 72 B8 EB 02 2F D6 96 63 97 84 03 6C 77 66 9C CC F9 47 78 22 2D 58 43 26 89 CC B6 A6 97 4F E9 5B 
P: 66 C7 7A 85 1C 3B 18 4D 2B CB 58 76 CB 90 5F C4 25 00 15 B6 1D A8 F0 F7 FF 96 2B 2C 44 3C 85 7C 
s: FB 9C E7 04 85 A9 73 39 A3 AC 08 63 DB 0E 42 69 E8 F7 18 AC F2 9E 4B 7E 4C E4 97 82 C3 C6 9A 0B 
k: 81 42 D9 0C 0D 8E B2 3C 9C 25 31 C6 69 04 38 DB 26 6D 26 BF DE 39 D1 A4 0B E9 5E 0E 34 42 F4 87 
P: 8F 6B F1 35 34 06 6F D2 40 73 FD 94 C9 D2 30 4A DA 78 6B EC 46 97 41 AF 06 CC EE C8 48 04 18 69 
s: 19 53 50 A0 13 73 43 C7 2A EE 5E 5B E2 7E B7 28 EA 87 89 17 31 B3 EB B2 D0 22 FD 47 CA 8B 83 03 
k: 58 1E A2 A0 C4 49 1C 94 C0 7F 67 86 A6 9A 9C 1B 26 13 3D B2 EB BD 0D B7 3F 83 94 65 E3 4C E8 DB 
P: 75 97 61 F8 FC FA 10 10 AA 5F 95 19 E1 EA 92 F0 25 42 77 9A B3 A6 DF AF 43 D8 E7 C1 7E A5 4C 17 
s: DB 1C F9 D8 1E 29 DF E1 AC 26 01 A2 FF 02 FD 63 D6 70 70 7E B2 DA F1 3B D5 FA 38 6D C4 B2 AB 09 
k: C0 D4 2B E6 B8 79 9D C2 C2 88 0F B7 E1 1B 49 54 36 72 2E 30 41 74 61 0C A4 FA 0E 4E F2 B5 83 B8 
P: EE A6 B2 24 79 B8 30 45 0C 56 FC 9D 1A E1 D6 6F 03 62 55 A5 C2 2B ED 9B 10 13 1C 3E 5B 27 9A 41 
s: 55 26 E7 ED E2 63 5E 8E CA 63 85 91 C3 53 8B 37 53 33 F5 8E 75 8E CA 9B 32 E1 D3 E4 60 67 3E 0E 
k: 85 92 F3 41 FF FB 9B D6 02 A4 AC 7A A2 81 AE 98 D4 22 0C C6 C2 01 3E F7 9E D2 26 E6 C2 E3 8F 23 
P: A4 4E DD C3 A2 D1 90 71 E4 B1 EB 1C D9 0B AB B2 01 90 7E 2D AA C8 A5 76 4F 81 7E F2 9C C0 A5 23 
s: 29 7E 3A 93 24 BE F6 63 C0 EB 9F AF 57 57 52 54 D5 C4 8C 3A E0 A6 3B 6C 4A 37 FC 36 56 24 46 0D 
k: FA 24 75 47 E4 9E CE 16 07 33 F7 2D C4 52 52 E2 44 62 11 90 C1 4A 88 05 F6 CA 38 3E 49 CB 15 61 
P: 63 9B 8B F5 5F DF 02 1F B4 CF 14 A3 62 2B 85 E7 6D 42 01 0D 27 55 06 B6 94 2C 6E 2F D7 13 6F 27 
s: F6 43 88 31 61 19 16 B0 74 55 4E 00 C9 45 E0 0F BB B7 B4 A0 D2 FD 40 6F A2 1A ED CD E3 62 65 09 
k: 74 06 C5 ED 66 73 0F 55 FB B5 88 AF F8 79 4B 30 0B 67 81 88 87 6D 2D 3B 58 88 23 11 91 AE 41 BC 
P: 25 A5 B3 99 98 FD 71 EF 25 10 D0 A5 EB C9 EF BF 21 3E 38 14 7E E4 80 47 5D 3F E9 41 7E 72 C3 0B 
s: 9E 36 8C 34 01 30 26 E9 B6 05 48 87 9B 59 94 2E 9B 93 80 26 7D 47 07 25 42 14 BD C0 57 39 24 07 
k: CB 7A AF 53 B6 EF 35 A9 2D 7C BB B7 41 6C 13 A0 76 C5 4B 7F D2 8C 6C DB D4 CC A1 72 37 2B 90 E8 
P: 51 AD 40 A5 38 9C 2F C7 C7 D7 7C B2 3D 34 89 EC 53 62 7A A0 23 15 52 FF 48 BF 8E 1E F7 78 C7 0F 
s: AA F1 0C B5 65 8E 59 1C 16 E5 11 F4 6F 81 A6 24 39 B8 B1 2A 0F 4A CB 9F 97 89 EC 65 34 29 B0 03 
k: DC BB EE F8 BD E1 22 7F 8E E4 9F 1D 76 9F E5 97 14 E4 28 27 51 6A 9F F4 5E 40 83 FC ED 98 1E 1D 
P: 9D C0 3D B5 60 04 F7 43 A5 91 54 10 15 4A 2B 92 21 97 AD 56 B6 06 55 15 AB 69 9A 6C 2C 8A F6 2D 
s: 87 FF CD A9 D9 12 32 F9 C5 DD 16 4B 6D 8A D8 C7 AB 52 2C 03 F4 B2 30 8C B1 A9 2F C1 A8 4C 92 09 
k: 09 36 4A B2 93 31 68 5E 35 2E 29 E0 C4 50 27 28 38 80 20 C9 29 D1 8B D1 4E C9 05 62 F8 B7 38 AD 
P: 18 FA 00 42 1F 72 55 62 0F 5F 91 DD 65 60 18 F6 66 9C 90 CF AE 61 E1 EB E0 A8 2A 92 82 64 5E 36 
s: 56 47 32 19 8C 4B 87 44 B0 F0 C1 10 85 66 3A 49 7D 13 E8 21 F9 C9 D2 9D FE E0 27 29 E6 16 88 01 
k: B7 D4 B0 C6 09 74 36 75 DB D8 F3 CC 29 9B 91 3E 78 42 AC 9B 73 D0 87 0A E1 74 D1 36 B2 AF 7D 6A 
P: 54 4A 91 C3 00 1C 79 C2 B2 1E 63 9E 6B 86 8D E2 E6 63 18 90 58 F6 9B 2B 92 23 49 AA 60 1C 99 19 
s: 72 94 38 07 8A 4C 69 D6 52 0B 84 95 73 76 4B 10 74 B6 06 C4 72 27 8C 7B A9 65 1B 4A B0 55 BE 05 
k: CE 5E A0 93 20 4D 7A BB 60 95 47 A8 FA DD 17 23 31 63 E8 6E BB C5 FA 2F B6 EF 58 25 09 5D 36 8E 
P: 01 EA 04 0E 1C 23 5E 86 E4 BE 0F 48 3F A0 5C 63 E7 69 69 67 2B 8B CD 24 FB E1 52 7F C6 1C B9 3F 
s: 32 F5 F5 66 A6 AA DC 4A 31 16 01 09 41 B7 E9 E2 07 57 3B 6B 67 7A D1 C9 51 43 82 C5 4A 7A 61 02 
k: 3D E3 6B CF 90 A2 53 76 44 C6 36 CC 5E 73 C4 FB 00 5F 84 5B 83 37 05 EF 51 8E A0 C6 FE F0 B6 40 
P: B1 C0 32 B9 6D 07 64 C9 E2 29 58 95 40 62 CE 1A CD 5E EC BA 6C 30 9B 81 05 EF 36 7E 7C 77 43 22 
s: D1 79 78 12 1E 02 B7 51 6F DD 02 43 11 58 64 81 56 3C F2 42 60 79 8B E8 C4 16 6D DE B7 93 CD 03 
k: 74 35 33 00 42 9E 50 FF 2E 90 FD 4E D0 B6 05 C2 4A BB 65 66 BE 7F 59 20 9B E5 AD CB 28 DF E5 16 
P: 91 0D AA 17 DA 27 D9 1E 4A 46 35 FA A9 8E 0B 4D 1D 00 11 C9 37 8E 86 8A B2 02 E9 12 F4 62 EF 3B 
s: E3 AE 78 42 82 8A 84 AC 61 B4 50 E7 7F 1E 8D C8 77 BE 66 8A 9C 8C 61 EE 39 97 62 05 82 C5 5D 09 
k: E9 79 9D 06 D6 80 16 F6 69 7A 02 E3 A1 5B 25 29 B5 DA 2E 97 55 46 8F 68 60 F3 21 2F 2F 1C 42 07 
P: 4C 8F 58 B4 D2 3B 4C 00 C9 13 70 58 93 4D 19 27 3A 82 5D 69 BF 6D 3C 11 0D 0C 3E 49 F6 D0 D4 00 
s: FF C9 E0 DE 91 50 3C 45 48 DB F8 AB 50 A3 92 AA 61 AB 67 E3 6F 70 61 C3 96 F1 28 AA E8 6A 14 0A 
k: 94 C2 A8 AB 1E 44 62 6E 62 9F 1A CD 73 13 E4 72 AD E1 1B D4 A5 CB 7B F0 D0 D6 BF B3 51 AC 02 69 
P: 89 B4 E9 C8 13 8E 91 44 53 80 80 D1 75 91 1E FB 59 AA 70 13 54 1D E5 17 CA F0 B4 83 CC B9 E7 61 
s: 19 C4 5F 76 48 27 FD 07 1C 33 F1 65 21 37 F6 73 D4 03 E9 9E 7C C6 11 14 85 C4 60 5F 96 C3 9D 0B 
k: 72 BB 20 F9 A1 0D 8B 3F 2B 6D F3 7F BF 84 73 14 E0 AA E7 F1 FF 02 59 43 FE 18 E2 0A E0 81 29 89 
P: E0 79 2F 82 4E 1B FC 33 EB 18 D6 6A B4 EA C9 4E E7 A4 25 69 16 53 0A 5C 9D 56 60 56 27 53 42 77 
s: F8 43 44 67 8B F9 2D FF 41 BC 6C C3 D5 FE F3 F2 EC 6F 91 1F BD 15 62 77 59 A5 34 87 43 92 1B 07 
k: 05 67 8E C4 19 71 F0 55 FB F5 C3 A5 50 91 48 5B C2 CB AA CA 27 7D C5 8F 64 85 20 9C C1 AB A3 42 
P: 23 F8 08 6A F7 41 3A 01 54 E3 83 34 C2 3D 99 C4 D1 8A EF 83 EB 99 BB 45 BF DA 22 D9 24 DC 74 22 
s: 8F 59 3E 99 63 DE 92 0A 42 E7 11 E4 CA F6 39 62 CB 42 B8 47 A7 99 B2 A9 EF 4A 58 4C 7C B9 5C 00 
k: D2 EA B2 3C F5 82 FE C9 AC D0 A7 A3 C6 EC 7F F6 0A A9 E6 DA D6 22 E7 5F 5D 92 A8 0D EE D3 D0 CF 
P: E8 21 16 7A B0 96 0D 4D F5 B2 8D 77 BA 10 FA 95 CF 4A 26 9E B2 FD 2B 80 BA 87 0B 35 CF 1F 5A 55 
s: 7F D4 F9 35 8B 1E C9 E8 24 A0 E3 29 55 BA E7 26 EC 9C 15 77 6A 84 92 FB EC 68 2E DC 61 C5 B0 05 
k: E2 6B DF 79 D8 BA B1 8B 3C 89 45 EC 15 03 CF 66 33 9B 2E D8 38 BF 3A 5C AA 59 0A 5B F5 0D 0C BD 
P: 30 3E 6A FE 6F 54 88 A3 62 D7 AA AF 17 EC 58 87 8D EC 22 A1 5F 4B 49 C1 96 95 DA 8A 35 6B 9C 43 
s: A7 6A B6 7D FB 1B F0 54 75 4A 09 47 7C 55 10 92 03 01 6A CC 1F 55 03 0A 4E 09 4F AD 90 5C 9B 04 
k: 41 FB BB 09 18 A6 C4 A4 4C A1 A2 C9 03 2F 3B DC FC 22 21 F1 6F 5A DA D3 EE 20 7C 7E 78 F5 0F 7D 
P: B5 CB 58 41 14 15 9D DD 92 8B 85 4B 4B 07 37 1C CC 4E 1D FD BB C3 B3 15 29 78 01 96 C5 1A 18 21 
s: 8C D5 E2 C7 EB 18 7C 13 0A A1 F0 98 96 1A F1 DB EB A4 4D D0 78 66 E5 98 DB B7 EF EA 65 68 32 08 
k: 83 92 4F 2F 40 6A F1 6E A4 20 47 A0 AD 40 11 F6 E8 2D A3 EA 0E 64 44 94 32 72 D6 6E AB 1C 50 A1 
P: C7 8A 0D 7F 92 4D 41 57 11 85 D5 08 8E A5 A4 8B D3 53 49 68 A0 A4 19 A0 57 13 1C 70 0B 2C 9E 51 
s: C8 A7 F9 F9 4E 4B 65 D0 30 96 F8 62 C3 9A 74 14 AB C9 C1 52 D7 25 A1 45 85 02 F3 EC 2C C2 89 09 
k: 3A 20 5B 18 8E 17 F1 9E AD B5 12 10 02 54 D7 2E BF 6A 8F 1A 9E AD ED 11 61 C4 CA 7A D9 CA A1 21 
P: 2D 27 4A 7B 2C 92 BB 41 46 C7 CB 0E 24 4E CF 7E AC 94 57 02 9A 26 82 09 9A 93 21 CA 9C 1B 74 0E 
s: B7 F5 09 3F 70 B1 6C 85 12 94 EA F2 D6 DE AC A5 36 6A 9C CA EE 14 A3 6C 53 F1 88 8D 0A 7E 97 04 
k: 81 A4 59 99 76 CB 22 B0 F5 65 65 C1 46 F7 32 7B 0B AE 4B 54 1C 35 28 02 CD B3 16 D8 E0 0A CE 6F 
P: 0E E1 67 22 7A 74 E4 E6 1F 5F 20 20 83 51 DE 0B 05 5D 9C 48 3D 7C 39 A3 49 CA 87 95 FF 8C C1 4D 
s: 66 13 C3 67 10 68 F7 40 1C 49 AE 49 CD 1B 64 0D 27 9A D4 18 4D 52 C7 6E 5B A2 5E A7 F2 C2 15 03 
k: 74 5D B7 19 1D A3 04 10 AF CE 7D 1F 91 A1 FD C7 9C 66 F6 37 79 BF 28 4E A8 CA B5 93 B0 09 E7 4C 
P: 06 5C 94 DA A1 41 B0 9C E2 8B DD 1B 1F F6 5E 4E C9 F9 FE 1D 7E 8B 97 57 32 10 F5 5C 83 19 D1 3D 
s: 16 C2 23 26 2D 1A 29 20 66 CF 82 A9 07 34 27 A1 F2 26 29 2B 52 4E C7 6B 1E D5 80 24 E5 52 49 09 
k: B5 03 12 3A DE 7D E8 63 30 F5 2E BB 4E 79 01 91 05 22 1E F9 19 43 35 B6 8C D9 53 EE CF C4 7A 77 
P: 03 BC 89 ED A1 BB 69 04 0F D1 5D EC F5 FC B1 5A A8 08 AF 54 20 4A E2 F4 96 BA AB AC 7B E8 36 67 
s: 50 6B 05 35 E7 66 15 F6 08 3D 6A 7D 98 EB E0 DC E3 1C 0C 9C B8 6A 26 B1 B4 C8 E3 5E 2C C2 D0 0E 
k: E9 16 94 66 C9 8F 8E 66 73 A7 4F 93 BC 6A 18 BF 1C 21 35 9E 55 22 46 93 F4 DF 81 96 D8 08 FD 52 
P: 17 D8 8F 64 BF 02 5F 20 E9 8F 00 DE B5 0A FE 8C 5B 80 4A 98 91 39 43 7C A6 E6 19 84 C8 62 73 04 
s: 87 B9 88 F8 23 1C 95 1B F9 C9 5D 45 01 13 91 11 B1 5C BF 5C 5B A4 72 A4 92 AB C3 4D FF 7A E0 0B 
k: 39 3A BD F7 1F C4 8F 26 96 6C 85 0A 70 8E A7 59 7E FC 32 EE F9 35 A4 E4 C0 84 6F 20 F7 BF 02 9A 
